Sentence,noisy_sentence
When are you going to marry me?,immotle ad yf ornarr iage
Tom has seen Mary on campus.,d omwillzee n aryz oon
It's a very strange case.,i t sokaytob ewei rd
Everything was pointing to this answer.,i asgedevery one thesane que stion
"You'd think that since I went through the same thing, I'd understand what Tom's going through. But I don't.",i ton tt hing thatiwo uldemj oydoi mkd hatwithdom youd dhinkt hatsin c eiwe ntthro ughthesane dhink itun te r  ztantwh adtonsgo ingt  h  roughbuditont
Humidity brings scorpions out.,glamul ardo lzarzcales
My train is late.,myt  laim isl ate
I have to learn a language.,ihav et o re alnaranku  age
The gatekeeper is closing the door behind them.,d hegadek eeperizcl osin kthedo or pe himdthen  she ha
Children accept your mistakes and teach you without judgment., sta kesamdteachyo  uwidho utjut gmend  whenyouha ve kidso fyo ulownyoul run delz dant
An intense regional diplomatic effort is needed to solve the Libyan crisis., el egionardiplo maticeffoltisn eededtoso lfe the lip  yamc lisis
They're with us.,i mdonewit hy ou
But I want it more than him.,i dontevemw amti tam y more
"I'll take a nap, I guess.",illda k ean apik   uess
The shoes are too tight for me.,the zhoe zalet ootig ht vo rne  dhese
They say Tom is the best player on the team.,dh eysa ydo mi  sthe bezdprayel o mth eteam
Get them some food.,g etth
Why aren't we helping them?,ren t wehelpingthem  yo ug uysaren
The prime minister directly confronted the challenges of his political opponents.,dh eplimeninis derdirec dly confrontet t hecha rlengezofhispol idi  calop pon
I have watched this movie nine times.,ad ac hanc etozee th atmovie ihavewa tc hedthis novi e n
"“We kept coming back to Goldie’s profile because the photos were charming and there was a streamed video of her and we decided that it would make sense for us to get over to the Humane Rescue Alliance shelter,” said Drescher.",s why “wek e bdconingbac  ktokor die’splofil e becausethe  photo  sw erec harmink  anttherewa sastl eamedvideo o fhe lam dw etec itetd had itwo u rdma kes ensev oluzt ogetoverdo d  heh uma nele scue  al
How will this affect you?,wilrt hizav fec  tyou  w h adscausingit
His computer is on his bed.,omput eri  son hiz bed  hei zleatimkf lomh
My mother-in-law has an important job.,ther m ymot heri nlawha saninport
It seems like bubble gum.,i dzeemsl igebub pl  ekum
Polyphemus is the most known among the cyclopes.,z dhe no stkmowm amongdh ecyclopes  h iznamewazb ecomin gwide ly knowm
"Most newspapers are local, having little circulation outside their particular metropolitan area.", ocalhavinkrittrec ir cu l adiomoutzide theil pald icular me droporitan area  n any studemtslive i mthezu bu
I don't think I should do that by myself.,ikno wishou ldn dto dh atpy my zerf
Mary said she cried every day.,arysa id shecriedef e lyt ay
I hope that Tom doesn't do that.,iho pe thatdo mdoe  zm
I stood still and stared at her.,iz do odthereloo  t eddot hesbot
Leonid examined his daughter's condition.,cision reonidex ami nedhis taughterzcondid iom
Mary took a stroll.,ma ryd oo kaztroll
Tom and Mary say that they didn't have insurance.,t omandmarys ay  dhatd  heydidnth aveinsu rance
Sami is staying home with me.,sa m iizz ta yinghome wi thme
We can do so much better.,wec and oz onuc hb edtel
I couldn't get what he wanted.,ico ultn tf igule itout
My grandfather made it a rule to take a walk before breakfast.,iusedto ovtend akea w arkbefore plea g v astbutito m ta mynore 
"They have a bent nose, like the beak of a crow.",it iz th ef ea thelzthatm ake ztheb irdbeaudiful
"""Look what I just bought."" ""What is it?""",thisi s zom edhingtha tipought   voryou
"By reading interesting stories, you'll soon notice that you already know how to read well in Esperanto.",byr ea tingintele st ingstoliezyou rlsoo mmot ice dhatyouarre adykn  o wh owtor eatwellime sber amto  ili ketozbe
I know that Tom is a pretty good friend of Mary's.,ikm owth a ddom isa fo  rn elboyvlien tovnalys
I'll get changed.,i fe c hange dmymindakaim
Sami didn't have much valuables in his room.,ele s anititmthavemuc h valua br ezi  mhisr
I could tell he wanted something but he was too afraid to ask.,i as k edhi m abou twha dhewitnezsetbut hewasmtve  lyvo rdhcomimg
I wish it were tomorrow already.,sh idweret  omorlow alre aty  irlv imdo
Everyone in our region is sick of the separatists.,ti ne ibloni se ef elyon ein  ourl  e kionissicg ovthesepalatis
I don't like camping. Do you like camping?,itom tli kecampi ngtoyou ri k ecampin g
He poured himself cup of herbal tea.,hepoure th imselfcup of he l bartea
"George R. R. Martin has said that Donald Trump reminds him most of his character Joffrey, the child king.",eorge l rmarti nha ssaidth a tdonal d tru mplemi md shi mmostovhizcha   lac teljoff leythechildkink
I wonder why Tom and Mary are so scared.,onamdm a ryar e zo scared  iknoww hy tonan dmar yale surbl iset
I hope one day to speak your native language as well as you speak mine.,withanadivespeaker ihobeo net ay t ospeagy  ou rna tifel  an ku ageazwel la z
The facts do their job.,t h efactstot heirj ob
I could've done a better job.,icoul tv edo meapet te  rjo p
"Where there is the major, the minor becomes neglected.",dez pitebe in gzm a llyouareofg reatfalue whe red her eisthe najordh eminor becomes  n
Mary started to take off her jacket.,nar ybu t herclot  he sindhesuitcase
Tom gave his sunglasses to Mary.,t omtoogad fa ndakeovnar y
Pay attention to what I'm telling you.,ia ngoi ngto del  lyo uthat
Rodrigo was contaminated.,gowasco mtami madet  ri mawa zrivit
Share this over on your Facebook.,aren dy ougoin  kdozharei t
"If it really winds you up this much, maybe it's about time you log off.", v erifyou ret itp eofer if i trearl yw im tsyou upthi z nuch maybeidsa bou dtimeyo  ul okoff
I can't go back to the way it was.,do m dnove ti lri getpack ic a mt koback tot  he wa yidw
Sami wants to impress Layla.,z aniwamdsto i mpless rayra
It's snowing galore!,its zn owing  garole
We ask God to guide us.,he asgeduz to gowi dhh e l
Tom and Mary are going to do that for us.,o uwandthemto do m an dmaly ar eg o ingto
Don't you think that it's rather funny?,tyo u think thadi tsradhelvunny
Keep away from the unlicensed taxis.,eeb a wayvlomtheunlic emzedt ax is  ib
We decided to wait until dark.,wed ec i dedtowai tumdi  ldark
He could never forget the terror of war.,heco uld meve rfor getth ete rr orofwal
He locked himself in his room and wouldn't let anyone in.,kedhin zel fin hisloo ma ndwoul dndletanyo neim  she wa zin d heroompy h erselv
I only asked her what she paid for that dull-looking dress and she flew off the handle at me.,e rwha d zhepai  tfolt  hatdu ll lookinkdlessan ds he f lewof v thehandleatne  sh etoog av
Tom has acquired a serious opponent - John.,tomwasdev e adet tomhaz acquiled a zeriou sopp on entjoh
That's Tom.,d on whostom
It's grotesque.,tha tsemparrazzink
This is an old building.,tha d sa noldhad
We know Tom has a bad leg.,ik nowd h at domi sumlucky
Tom told Mary that he had never really intended to do that.,tomz a itth a dhedidn tthingnar  yleallyh a dt odotha tbyhe  rserv
Choose-your-own-adventure stories.,urownadvendurestorie s  terlu sth ewhores tory
Tom died on the battlefield.,tomwa skil ledby aran dmi  me
The beggar turned out to be a thief.,he wastetecte tindhe f e ryac t ofste arink
"In spite of the great importance in our national life of the efforts and ingenuity of unusual individuals, the people in the mass have inevitably helped to make large fortunes possible.",imz piteofthe grea tinporta  mcein  o urm ationall  i feovdheeffordz andingenu  idyofu nusu arint ividualsthepeop l  ei mdhenas shav eimefida b ryhelpet t omage ral gefortunesboszible
Michael's room was ginormous., hae lzroomwaskinormo us  mikealwayss ta yscoo r
Layla wasn't wearing any jewellery.,la yl ahatmos ocgs on
Are you still going to wait for Tom?,ar eyo  uzt ilrg oingtoca rlton
Tom and Mary told me they'd like to help.,to man dmar ytoldm ethatth eytl ike  do help
I got a farewell present from everyone.,tyhere hasbeenvelykind tome igo tafalewel lb res en
Your speech will be recorded in history.,lyizd arg you lspee chwillb  er ecordetinh istoly
"I don't think there should be a question mark here, because it's not a question.",oa zgyo ulzelfes idontthi nkthereshoul dpeaquesdiom  mal kher  e   becauseit  sno taqu esdion
"Are you crazy? You don't do as I say. You act improperly and according to your own will. You know how dear you are to me, don't you? I absolutely don't like seeing you in this condition.", oudon t d oasi za yyou actimproperr ya  nd acco  rtingto yo urownwill yougnowh ow  dealyo ua l etonetonty  ouiabsolude lyd  ont likese e inkyoui nthisconditiom
Ziri was feeling a little of a daze.,s iri feldhin s erfvilledwithre liev s iri wasf eelin ga ritdl eofad a
Tom told Mary that he thought John wasn't nice.,mar yd o rt tondhatshethoukh t jo hnw asincorrect
We have a lot of things we need to do today.,we h afealo tofth ing swem ee   dtototo day  we z
Tom never should've told Mary that he loved her.,do mne fershoul  dfet ordma lydhat  helovedher
You should have told me a few days ago.,  th a vetoltme a  fewdaysago  youzhoul th aved one thatyesterd ay
How long do you think it would take to do that?,think you’ llneed ho wlonkd oyo u thingi   twour ddaket  
I don't think that Tom knows much about sailing.,itonddhi ngt hattomknowznuch a p outsa  iring   
I can type very quickly on the keyboard.,it hi nk t hadi rlpeapr edot odh adv astero
I didn't know that we weren't supposed to do that today.,ididnt gmowdh  atwewe r emdsup po sedtodotha   ttoday
I think you should clean your room.,ith i nkyousho ur dc leany  ourroom
He struck his fist on the table.,uc khi sfizto nth etaple  samile fta ti bont
He raised his arm intending to stop a taxi.,he raised hi zar mimt endin  gdozdopat axi
When will you return to Boston?,don
Why did you break up with your last boyfriend?,ingwithyou whyt i dy oupre akub withy our laztb oyflient
Tom has a strong upper body.,to mhasastro ngu p pelbody 
I always take a bath before going to bed.,i arwaysd a keabadh befo  regoi mgt ob  et
"Who can speak English better, Yoko or Yumi?",alyp ot hspeakfr ench whoc am sbeake nglizhpe   tder 
I told him what was going on.,iheard wh athappe med
My cat doesn't sleep at night.,m yc atdo esmdsr eepatnighd 
I'll think it over and give you my reply tomorrow.,i  llthink i tove randkivey o umyre p rytonorrow
Michael turned to see Linda walk into the room right then.,mi ch aeltur ne  ddoseerindawal k indodhe lo  on rikhdthem
Antonio and Rima discussed their troubled lives.,omi oandlima di scuss eddheirtr  oubredrives
I don't think Tom and Mary go swimming together.,idomtd hinkd om  and ma rygnowa my  thingaboudthis
"I asked her out, but she said no.",iaske th el outb u t  she sa idno
They wanted to turn themselves in.,todur mt he mselv esin  iwant themarlesd
Sami was much more specific.,s ami waznu chmo lezpecivic
Tom and Mary said they were hungry.,tomand ma rysayth e ywe lehu mgry
I'm afraid that I was right.,isti lrtom tdhin g imwr onk imav ra idthati was r ig
Sami needs to find some other excuse.,san iz houldm akeubabet  terexc use
I have no objection to doing that.,i ha  fenoobj ecd iontodo i
The battery is running low.,dheba dderyislu n ning low
I know I shouldn't do that by myself.,ik ne w imigh tnodh a  vetotot had
"When first year students write compositions, shouldn't they leave spaces between words?",l itinka letder w hemfirstyearstutendswr i teco npos itio m sshouldmddh e yleavezp acezpedwe enwords
I'm almost twice your age.,youw el eferyyo unkdh en
Two squared is four.,two
They say that they'd never do that again.,dhey won t doi danyno le dheys aythat dhey dn evel d otha dagai
Are you too busy to drop me a line?,a r ey ou doob uz y totro pm earine
I want to think for myself.,iwanddo th im kvo rm yse  lf
David responded to many ads but no one would hire him.,in s orry pudth ere  snoans werhe n us thafegomeout
It's important to be responsible and turn off the lights., zbonz  ibleandtur moffthe ri ghtz  c amyou turnonther i ght
I don't need a plate.,idom t needi tyed idom t mee da
This pass is valid for three weeks.,eewe ekzold thizb az siz va ridvorthreewee 
He hates ice.,ce
I'll take care of it personally.,i rrtageca reof id  pe
I suspect that Tom isn't planning to go to Boston with you.,isu zpectt had  d omi znt planmingto goto bosto   nwithyou
"There are 10 types of people in the world: those who understand binary, and those who don't.",tund e rsdand dhereare 10dy b ezofp  eoble int  hewor lt those  w hounderzdandpi n alyam t
I drove downtown to meet her.,i net  herp y cha nceint heshop
Guess what's on my mind.,imas king wh ad youthimk
They're likely to forget their promise.,dheyrerikelyto v ol gedt h eirproni
You're going to need it.,yo u  rekoi ngtonee dit
"I heard her speaking English fluently, like an American.",ana nerican
He brought his friends too.,he ca mewithhis vrients 
There must be several injured.,dhere mus tbes ever ali njuled
My bike was stolen at the museum.,myb ic yc re sleardire izvrat
"The deeper we penetrate into the history of early institutions, the less we find grounds for the military theory of origin of authority. Even that power which later on became such a source of oppression seems, on the contrary, to have found its origin in the peaceful inclinations of the masses.",thed eepe lw ebemetr ate i  nt othehisdoryo fe ar ryin sdiduti onsdh ere s swevimdkl o u mdsfort heniritarytheoryov ol  i ginofaudho lityev  em thatpowerwhichlater ompeca  mesuch azour ceovopp  rezs iomse  e mzon thecon tla  lyt  ohavefou n t itsorikinint hepeacevulimcrin ationsovthenaszes  do youhafe anydhe orie z
I think that it might be a glitch.,ithou ghd th aditwa sam acc itend
He'll have his house repainted.,hell havehizhouse re ba imtet
It seems like a dream.,sl igead lea n  sheistle anin g
Claudio was clearly worried.,owazcleal ry wolried  ziriwa zn el vouzab oudid
Tom could start an argument in an empty room.,to mmay be umpiaset tomcoul tst a  rtana   rgumen dimamemptyl
Get with the times.,ih aved o beo ntine g ed wit hdh
It's not black and white.,lack andwhit e  thats mothealth y
Sami's hand was swollen.,s amiwash avin gas hit
I didn't know that you wanted to do that today.,gm o wdhaty ouw ante dt o dothadd o day  idid m t kn owth
Yanni checked the bathrooms.,nic heckeddhebathr ooms  yanmiw as determined
I would've done that if I'd had the time.,r y oui fi thad noletine iwo uld fet omedh ativi dh a  d
I'd like to surprise her.,i dkindofzu lbrise d ne
She needs Silya.,she meedzsi ry a
I am certain that you have noble thoughts.,i amc eltaintha dyo uh avenobre thoughts 
I wish I were joking.,fuckingkiddi mgm e
You'll get your turn.,you lrg etofel id
It's going to affect our economy.,it skoimk do af f ectoureconomy
She has no one to help her.,sh eh  azmoom etoherp  he  r
Sami loves biracial girls.,sa milofesbi racialgirr   s
I've gained weight again.,i vecha n kedmymin dakaim
"When I was at university, I liked to study Latin.",whemi wa za  duniv elsity ilike t tost uty latin
Tom challenged me to a game of tennis.,tonchall e n ked met o agameo fdemmi s
I want you to promise me you will never tell anyone what you have seen.,iwis hy ou dto rdme whatt oex pect iwandyo utoblo mis em eyouw i l lnevelde  l lanyome  w hadyou 
Tom said he felt lucky.,e veltru cg y  t omzai
Tom will get hurt.,willged hu rd  do mwon t hurdus
Tom and I are the ones who'll do that.,d ha tz w hattomandi wel   edlyimktodo
Mary was told that she doesn't have to do that., ywast ol t dhatz hedoe  zndhav et odothat  ma
I was very unhappy.,yd isappointed
The future of English seems to be leading in three directions.,thev u tur eove nklishs  eemstobe readi mkinthree ti rectionz
She had him wrapped around her little finger.,zhe ha dhimw lap pedaro un dherrittlefi nger
Tom bought some goats., mboughdz omekoa ts  i bou g hd
How many people are in your family?,howbigiz you r fani ly
Putin's downfall is very unlikely.,idislik ely putim stownva llisveryu nrikely 
Tom said he needed to get some air.,tom said dh atyo uneeted  ahailcut
We survived.,wes urvi fed
I'm just glad Tom and Mary are doing that.,inju stgla dtoma mdmar ya r e doingt had
The exhibition will be open to the public.,t ionwilrbeopen tothe pu blic  th ey wi llshowthe citytodh etouri zts
Tom told me that Mary wasn't very hungry.,tordn ed hatmarywazm  dv e ryhumkry  t omdoltm ehed hough dma lyw asunbeatable
No one is talking about the Minsk Agreements.,yonehasasik nedcond ract n ooneisd algin gabou dd he
Get in touch with me tomorrow.,gedimd ouchw ith n e tomorrow
I got one for us.,illta keo ne ig ot one f
Can I get you a coffee?,dy  ouacof fee
Do you like horses?,d o yourikehors es
Tom's French isn't bad.,to mzfre nchizntpa  d
His great-grandfather looked ill.,h izkleatkramdfat herloogetil r
Tom got scratched by his cat.,to m che wedonh isnairs tomgotscr atc he dby hisc
You're treading on thin ice.,a v rag mendo vicefloatet by
I'm going to study English this afternoon.,rmoon
We never really thought Tom could have done anything like that.,i m pret ty surethattom  haz mtdoneeve rydhi ngh en eedsdoto
We've got the truth on our side.,i waz goi mkdotel  lthet ruth
He is nothing more than a coward.,erwo m em heisno thimgmo le thama
My father will prepare a tasty meal for me tomorrow.,lebal eadasdyme arvormet o mollow   myfath ero fdenwashest
Tom thought that Mary wasn't in Australia.,tom dor dme heth oughtn aly waz  pacgfrom ausdraria
"It was the sob of a woman, the muffled, strangling gasp of one who is torn by an uncontrollable sorrow.",it wazth esobofawon   an dhenuf fre  ts drangringkas bofonew hoi storn byan unco m  trolrab leso
I'm thinking of staying in Australia a little longer.,i m thimki ng o fz tayinginaustraliaali  dtrelonger  ihobe t
She quickly slammed the door shut and sat down again at the table.,he toor sh equickl y sl a nnetdh ed oo rshuda ndzatt  owmagainatthedabl e
His name was becoming widely known.,m amewasbe co ninkw itelyknown  few ztudendskmew h iz mame
They became concerned.,d
He loves cats.,atz
"On stage, South African singer Shannon Hope is a feline presence, her lithe body accentuated by a tight, black satin dress, spiked onyx hair, glossed lips and red stilettos.",o nzdagezo udh afl ica nsi m ge rshamnomho  peizafe l inebreze nce he llidhe podyaccemdu at  edbya tightp
Tom told me he thought Mary was back from Australia.,hat ma lywasmtinaustralia domtoldme hetho ukhtm a lywa spa  cgf ronauzt
I took my family to Kabylie.,i dookn y vamily toka  pyrie
Ziri forgot his keys at home.,siriforgodh isg ey sa t home
Tom's French is a mixture of different dialects.,to msf  re nchisanixtul eofd iff erentdi  arects
Igor grabbed his shotgun.,gustav ost oleri ma’sbulred
Are you sure you don't want to come with me?,ouzur  eyouton  twan dtoco newithme  don ty ouwa ndtotak etha tw ithyou
I'm going to confide in you.,i rlge epmyf ink ers cro zsetvolyou
"Rosetta's probe, Philae, has successfully landed on the comet 67P/Churyumov–Gerasimenko.",rosettasprobe phiraeh a szuccessf ul l yramdetontheconed67b c hulyumov–ker  asinenk o
I'm pretty sure that Tom hasn't done everything he needs to do.,ido mtb eliefetomreal  ly meed s to tothat
It's rained a lot this year.,idrrzdobr aimim gbe fole rong
Nobody was there except for Tom.,mop od ywasth eleexcep tf olton
She says she has a lot to do.,zhe z a ysshe ha sar  odd
People here are happy.,pby
The only reason I got blamed was that the boss needed someone to blame.,k odpl  ame t waztha tdhe bossneede dsome o netoblame  imstaltimgto dh imgid s
I don't earn as much as you think I do.,i dondhavemu ch momey  either
I am sure that you have enough money.,ia ms ure d hadyouhav eeno  ug hmoney
Yanni was chewing Skura up for something minor.,yanni was chew i mgzku raupfols ome thimgminor
Mary said she wasn't coming back.,m ar ysaitshewa zntcon i  n gback
Doing something only half-heartedly is the worst thing you can do.,tr us tmeyou ca nd oa ny dh imgpud youca nttoanyth ingwelr
Tom advised me to go there.,is hour dvet  orttond okothele 
Jonas lost his focus.,j
She said she thought she could impress him.,s hesai  ts het hough tshecouldi
The news brought her a lot of publicity.,iwasenco ur ake tpydhenew s then ewzb  roug hthe rarotof  buplici
Let's talk about it while we drink a cup of coffee.,twhi rewed rink a c upo vcofvee  le dsta rga bidabo uttha d
Tom always eats something before going to work.,yseadszo meth inkp evol egoing dowork   tonha sa lwa yzbeemspoiled
We're faced with a difficult situation.,were facedwit h adiffi c urtsit uation
The infection will reemerge.,ab l ettedmet lariswlink ry
You'll get brownie points if you respond quickly.,y ou leaquickl ealn er keebitup 
Are your parents still living?,are y ourbarentss t ilrrifi ng
It's refreshing!,thizi szo c ool
Algeria has an unbelievable amount of historical sites.,arge liah azanu mberiefablea noumd ofhistoli c  alsid ez
Tom said that Mary was happy that she didn't do that.,tomza i ddhat mar ywas ha ppyth atsh edidm  ttodhat
I met her by chance in the shop.,i med herb ycham  ceim the s hob
Lukas took the woman to the hospital.,l ugas tookdhewom anto thehos bita
I'm so happy to hear from you.,i msoh abbyto hea l flomyo u
Sami bought weed from Layla.,boughtweed fro nl ay la
Tom is a cyborg.,tomi zp lasteret
My back hurts from sitting for hours in front of the computer.,ih urd my backa litt le nyb a ckhultzv lonsitt imgf orhou rsinv ro n dofth e
I get the feeling something's not right here.,k ed d heveelingsomet h ingsm otr ighthele  some thin gmigh tpego imgonhele
Are you going to kiss all of them?,arey ou goinkd  oki z sa rlovdhen  letsg
It's one of my favorite spots.,id zoneofmy vav ori tesbot z
Mary is interested.,mal yisimtere  sde d
I can't tie my shoelaces.,ican dt ie nyshoel aces
Tom isn't the one who taught me how to play the guitar.,d donismtth e onew h otaug  htmeh  owtopl ay theguid ar
I think Tom's old.,ido ndk no  wtomsage
I was encouraged by the news.,iwa s enco urag etbydh emews
Tom will pick me up at 2:30.,t erlt  omdob eh  ereat230
"Knowing a topic is one thing, but teaching it is a whole nother story.",k n ow imgatobi ciso  nethi mg putteac himgitis aw hole nothe l stoly
Sami ordered a drink.,zanio ltered a drin  k
"It was quarter to twelve when the alarm broke out. Mr. Cunningham had just got into bed, and Mr. Alec was smoking a pipe in his dressing-gown.",it wasqua lt  e rtodwel fewhen the  alarn  pr ogeou tmlcun  m img hanha djustgodint obe dan dnr arec w  azsmogin kabipe inhis drezsinkgown
I have nothing more to say to Tom.,tomdit ntzayan y thin  ga boudthadto me
I think Tom doesn't know how to get to Mary's place.,ow sw hynalywe nt t oboston it hing to mdoesm tgnowh  owdoge ttoma r ysb
Mary said she felt very confident.,mary saidth ats hefe rtpowerlesz 
Are snapping turtles dangerous?,zi rir ikestortoizez
I wasn't able to answer even one question on this test., ab leto am swereve nomeque ztion on thisdesd  iwondamswera ny nor eofyo
Let's try to fix this problem together.,letst rydov ixd hisblo plendogeth  er
You cannot expect such a good chance again.,ihop e thatigetac h anced o d oth ataga im 
You can start learning to win by learning to draw.,nstar tre ar n in gtowi mbyl ea lnimgtotlaw
"Sami named his parrot ""Farid.""",s amiuset p o op whichi zanot herwo rtforshit
That fascinates me.,itisbre athta kimk
I think that Tom knows something the rest of us don't.,tomk nowswhath eztoing ithink dhatt omkno wsson et hi nkthere
Mary had obviously been crying.,nalyiszt il lc ryi ng ismtshe na lyh adopf iouzlyb e
It was difficult to obtain.,it wasn  dsohar ddoto  thad
Jeans go with everything.,jeansgowithev ery t himg
You should've asked Tom to do that.,ou ldhavebee mde m pdeddododhad
Don't let it boil inside of you.,don tdo u chthebox
Tom hurt his back at work., rth i sbacg adworg  domwirlk
I am limping along.,i nnakingprog ress
Layla and Sami had a romantic American date.,la yl aand za mihad arom an ticamel icandate
I'm looking for someone to fall in love with.,inloo kin gvo lso neone  tofalri nl ovewidh
Tom is one year away from retirement.,don is o neyearaw ayfl omletir ememt
Stop ganging up on me.,bga mk ingup omne  stopims urd ingme
Do you think Tom could've done that?,i wom de liftomdi dd hatonb urpos e
I don't remember the name of the place we stayed last summer.,ih avent hea rd thadma meim years idomtrene mbel thenam  eofthebla cew e stay e d
Tom's condition is still not known.,tomsdil lt oesm tk now whatto to
"Good bye, and safe trip.",take abr eak it sfine goodbyeands a 
Sami is making a YouTube video.,s amilovesm aki ngyou tubevideos
Mary said that she wasn't alone.,nary z aitth atshewa sn t alone
You could do that this afternoon.,y 
Tom said Mary likes driving.,t omsai tmalyi sfim e
"That company was quite successful, producing dozens of different models of speakers.",h ercareel wa sfullof zucceszes dha tco mpamy  wa zqu idezu cc essvulprotucimkdoze  nsofdifferentmodersovspeake 
It seems that the only time he isn't eating is when he's sleeping.,i d see msdhat t heon l yd imehei sndead ingisw  henhe zzleeping
I always think about that.,ay st hi mgapoutt hat  i vearw ayswomder
"As a teacher, I hate having to get my students' attention.",imc ul lend lyateac heradthisschoo l az ateac he lih ate hafing do get mysdute nts
"I was so scared, I almost peed my pants.",red ial  mostp  eedmybamtz  myp and z hasar oto vli nt
Tom said that he thought Mary wouldn't cry.,waz mizera bl e domsaidt h athethough t n
Tom enjoys going to concerts with Mary.,t one njo ysgoingto concert  sw idhmary
Tom told me he wanted to leave.,tom saiddhat hewam te dtore d ile
My house was on fire.,nyhousew as onf il e  iz ol dmyhou
I put him out of my mind.,ivereconz idele dit
Secrecy is of the essence in this matter.,secrec yiz ofthee zz e nce imthiznadter 
Tom told me that he thought that Mary was unfair.,tom doldmet hadh e though tthatna  lywasunf ai l
That isn't exactly why I'm here.,t h isi s nopla c e foryoudobe
His dream is to study chemistry in the US.,isd ostudyche nisdr y  intheus  tom sd
I know Tom will have to do that by himself.,i gnowdo nw irl have to doth    atb yhimzerf
Lukas went to the area.,luk azrushetdo wa ldztheho use
"From a statistical point of view, a plane flight is much safer than a car trip.",fro nasda t isticalp oi mtovv i ew abranevl igh t izn uc hs afelth anacartrip
Don't set foot in the lion's den!,tomt se df ootimthe r ionz den
Rodrigo reached the finish line.,i gore ache tthevimishr ime  rodligoh azaf urly krownpeald
Tom couldn't find the bus stop.,tomcoul dm dvinddhe p ussd ob  to
Tom was able to solve the problem.,omhatn odrou pretoi mkth ad
Mary realized she didn't have to do that.,narywas tord  thad shedoesn d ha vet odo thad
Tom wasn't the only witness.,to ni smtone ofthe m
Fadil wasn't upset with Dania for what she did.,vadilwasntup  ze twi  dh ta m iavorwha tzhedid
Gustavo was unattached.,gusd avowazu nadtached
I saw Tom laugh.,h
Sami took his car.,sa mine ete dtopa r khizcar
Why didn't anyone help Tom?,aly wh ytidnda myo mehelp tom
Mary told me that she wanted a lawyer.,narytor  tn eth ats hew  a mdetalawyel
I'll catch the next train.,ilrc at chth enexttlai   n
I have made a vow never to get married.,ih afema te a  fowmever to g  etmalrie d
Sami was trapped inside.,zani too kme towmd heha ll
Why are you being so obstinate?,why areyoupe im g zoobst inate
"If the world weren't in the shape it is now, I could trust anyone.",ift h ewor  ldwere ntin thezhape i tismow i c ou 
I didn't want you to hate me.,idid ntwam dy out  ohat
I see a stone.,ise emy tabre 
"Thirty minutes before the game was to begin, people began pouring into the stadium.", udespefo rethegam ewaz to pe ginpeoblebeka npouring i  ntod heztadiun
Tom is in his office waiting.,ton keptwaitin g
My brother depends on me for money.,nmef ormo ney
"You aren't going to walk, are you?",do mtyo u wanttotake a wa lk youalentko in g towa rkare 
What should I do then?,totoid wh a tshould itot 
"His arts gave credence, and forced tears withal / snared us, whom Diomede, nor Achilles dire, / nor thousand ships subdued, nor ten years' war could tire.",hi sartsgavecle t encea nt v orcetdea rswithal  snaredu swho m diom ede  norachill e  ztirenoltho u sand s  hipszubdued noltem  y earzwalcoulddire
Why are you still in there?,why aley o uzdi rlimt here
They came home and did their homework.,t he ycame homeamddit theil ho n  ewolg
Shall we wait for you here?,eandw aitvor him b reaze sh allw e waitfor 
We're all adults here.,were alra dul tshere
I'll do everything I can to protect you.,t ondh esitat eiwilr prote cty ouforever
I loved it in Australia.,il ovedidim a u zdrali  a
I'd rather die than betray my friends!,iw ilrfi ghttod he de ath
Ziri gave some water to the ewe.,oth ee we
You could see he was angry.,hewasbl azingw it hamg er
Tom will probably go to Boston on Monday.,tom wilrp ropab  l ykotob ostonommom tay
Women today drink as much as men.,w ome ntodayd linkaz much  azm en
We are overwhelmingly Berber in origin.,whelm imgryberperin orig im  we come frombri dain
I am a theatre lover.,i am ath eat  relovel
What shall I tell him?,whats h al ri dellh in
Not all baby animals are cute.,no body claim edthatbaby
Sami lingered for a few hours before eventually dying at the hospital.,sa milink eredv oraf ewh o urs beforeeven dualrydyi ngadth ehospi tal  sam ish oul dbewa
"It is, however, apposite to note that this process will continue in the year ahead.",us don cea yeal itis howefe rabposited onote thatt   hi splocezs w il 
Add up this column of figures., ubthisco lu mnoff ikurez   ari thmeti ctealzwi thnumbers
"Tom, will you stop it.",don bu da sto pdo id
I doubt that Tom would be afraid to do that.,i toubdth adt on wourd bea fra  id todoth at
Don't speak in the middle of a lesson.,domtsbe agim dh emi dt reof al esson
I told him I'd be right back.,it ort himidbe rig  h tb ac k
What's the difference between the new minister-president and a telephone? You can hang up the telephone if you dial a wrong number.,i ni zte l presi   d e mtan tad erebhone youcamhan g upthetelephomeiv yo utiarawromgnumper
Tom saw how upset Mary was and decided not to say anything more.,bzetmaryw asa ntd e  cidedno ttosayan  y  thingnole
"Birch trees grow well in acidic, well-drained soil.",bilchdreesgro ww ell ina citic wel ldrainedso il
Isn't it a beautiful day for a picnic?, t ifulda yf orapi cnic  iznt itgolgeo us
Tom and Mary said they thought John wasn't interested in sports.,doma mtnary s aidthey d o ntmin tdoing  thatv orjohn
Someone's waiting to see us.,eysay dheyrr wai tvolus someonezwa it  ingd os
Tom doesn't play tennis as often as he'd like to.,domtoesn t play tenn isa zof tem a  shedrike to
Ziri's gun was fully loaded.,lisgu mwas ful lylo ated  yann ihadata c ticarzh odgum
